"season","point_ID","max.dep"
2007,57,170
2007,58,40
2007,59,30
2007,60,45
2007,61,40
2007,62,140
2007,63,220
2007,64,150
2007,65,390
2007,66,375
2007,67,150
2007,68,40
2007,69,20
2007,70,20
2007,71,90
2007,72,125
2007,73,130
2007,74,280
2007,75,225
2007,76,355
2007,77,70
2007,78,40
2007,79,30
2007,80,80
2007,101,10
2007,201,25
2007,301,40
2007,401,10
2007,501,35
2007,601,15
2007,701,20
2007,801,55
2008,1,270
2008,2,200
2008,3,160
2008,4,120
2008,5,140
2008,6,120
2008,7,40
2008,8,50
2008,9,60
2008,10,5
2008,11,240
2008,12,190
2008,13,240
2008,14,180
2008,15,140
2008,16,100
2008,17,40
2008,18,40
2008,19,30
2008,20,5
2008,21,240
2008,22,215
2008,23,290
2008,24,260
2008,25,180
2008,26,100
2008,27,100
2008,28,275
2008,29,10
2008,30,5
2008,31,290
2008,32,165
2008,33,300
2008,34,310
2008,35,280
2008,36,120
2008,37,90
2008,38,170
2008,39,20
2008,40,10
2008,41,220
2008,42,265
2008,43,395
2008,44,325
2008,45,350
2008,46,280
2008,47,80
2008,48,50
2008,49,70
2008,50,10
2008,51,190
2008,52,165
2008,53,265
2008,54,360
2008,55,375
2008,56,400
2008,57,300
2008,58,340
2008,59,80
2008,60,40
2008,61,100
2008,62,290
2008,63,350
2008,64,200
2008,65,390
2008,66,400
2008,67,140
2008,68,70
2008,69,30
2008,70,10
2008,71,100
2008,72,170
2008,73,280
2008,74,370
2008,75,250
2008,76,270
2008,77,110
2008,78,70
2008,79,40
2008,80,40
2008,101,5
2008,201,5
2008,301,5
2008,401,5
2008,501,5
2008,601,5
2008,701,5
2008,801,10
2009,1,230
2009,2,170
2009,3,200
2009,4,200
2009,5,210
2009,6,180
2009,7,50
2009,8,60
2009,9,30
2009,10,10
2009,11,220
2009,12,200
2009,13,300
2009,14,220
2009,15,180
2009,16,140
2009,17,60
2009,18,20
2009,19,10
2009,20,10
2009,21,200
2009,22,240
2009,23,290
2009,24,285
2009,25,170
2009,26,70
2009,27,110
2009,28,180
2009,29,130
2009,30,10
2009,31,220
2009,32,220
2009,33,280
2009,34,320
2009,35,250
2009,36,100
2009,37,135
2009,38,220
2009,39,180
2009,40,10
2009,41,200
2009,42,260
2009,43,335
2009,44,320
2009,45,365
2009,46,270
2009,47,85
2009,48,60
2009,49,80
2009,50,20
2009,51,180
2009,52,110
2009,53,335
2009,54,310
2009,55,380
2009,56,450
2009,57,100
2009,58,90
2009,59,45
2009,60,90
2009,61,100
2009,62,200
2009,63,250
2009,64,270
2009,65,480
2009,66,510
2009,67,100
2009,68,120
2009,69,30
2009,70,100
2009,71,150
2009,72,160
2009,73,180
2009,74,300
2009,75,340
2009,76,400
2009,77,170
2009,78,20
2009,79,120
2009,80,80
2009,101,10
2009,201,10
2009,301,10
2009,401,10
2009,501,20
2009,601,20
2009,701,10
2009,801,80
2010,1,260
2010,2,250
2010,3,210
2010,4,140
2010,5,160
2010,6,170
2010,7,40
2010,8,30
2010,9,40
2010,10,20
2010,11,320
2010,12,220
2010,13,270
