year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
1993,NaN,3,none,MM,157,1
1993,NaN,4,none,MM,1,1
1993,NaN,8,none,MM,162,1
1993,NaN,22,none,MM,123,1
1993,NaN,25,none,MM,176,1
1993,NaN,26,none,MM,317,1
1993,NaN,27,none,MM,222,1
1993,NaN,36,none,MM,277,1
1993,NaN,44,none,MM,37,1
1993,NaN,46,none,MM,210,1
1993,NaN,49,none,MM,143,1
1993,NaN,52,none,MM,77,1
1993,NaN,53,none,MM,0,1
1993,NaN,60,none,MM,143,1
1993,NaN,61,none,MM,398,1
1993,NaN,64,none,MM,150,1
1993,NaN,67,none,MM,368,1
1993,NaN,72,none,MM,229,1
1993,NaN,73,none,MM,198,1
1993,NaN,79,none,MM,169,1
1993,NaN,80,none,MM,249,1
1994,NaN,2,none,MM,206,1
1994,NaN,3,none,MM,213,1
1994,NaN,4,none,MM,120,1
1994,NaN,8,none,MM,190,1
1994,NaN,17,none,MM,284,1
1994,NaN,22,none,MM,160,1
1994,NaN,25,none,MM,157,1
1994,NaN,26,none,MM,318,1
1994,NaN,27,none,MM,129,1
1994,NaN,36,none,MM,266,1
1994,NaN,43,none,MM,119,1
1994,NaN,44,none,MM,158,1
1994,NaN,46,none,MM,145,1
1994,NaN,49,none,MM,195,1
1994,NaN,52,none,MM,223,1
1994,NaN,53,none,MM,111,1
1994,NaN,60,none,MM,107,1
1994,NaN,61,none,MM,299,1
1994,NaN,64,none,MM,220,1
1994,NaN,67,none,MM,469,1
1994,NaN,72,none,MM,239,1
1994,NaN,73,none,MM,228,1
1994,NaN,74,none,MM,61,1
1994,NaN,75,none,MM,83,1
1994,NaN,79,none,MM,104,1
1994,NaN,80,none,MM,142,1
1995,NaN,2,none,MM,133,1
1995,NaN,3,none,MM,340,1
1995,NaN,4,none,MM,81,1
1995,NaN,8,none,MM,213,1
1995,NaN,17,none,MM,280,1
1995,NaN,22,none,MM,119,1
1995,NaN,25,none,MM,145,1
1995,NaN,26,none,MM,262,1
1995,NaN,27,none,MM,215,1
1995,NaN,36,none,MM,250,1
1995,NaN,43,none,MM,45,1
1995,NaN,44,none,MM,88,1
1995,NaN,46,none,MM,100,1
1995,NaN,49,none,MM,142,1
1995,NaN,52,none,MM,111,1
1995,NaN,53,none,MM,27,1
1995,NaN,60,none,MM,160,1
1995,NaN,61,none,MM,181,1
1995,NaN,64,none,MM,161,1
1995,NaN,67,none,MM,472,1
1995,NaN,72,none,MM,143,1
1995,NaN,73,none,MM,60,1
1995,NaN,79,none,MM,102,1
1995,NaN,80,none,MM,148,1
1997,NaN,2,none,MM,139,1
1997,NaN,3,none,MM,256,1
1997,NaN,8,none,MM,179,1
1997,NaN,17,none,MM,207,1
1997,NaN,22,none,MM,288,1
1997,NaN,25,none,MM,179,1
1997,NaN,26,none,MM,250,1
1997,NaN,27,none,MM,149,1
1997,NaN,36,none,MM,177,1
1997,NaN,43,none,MM,115,1
1997,NaN,44,none,MM,85,1
1997,NaN,46,none,MM,295,1
1997,NaN,52,none,MM,439,1
1997,NaN,53,none,MM,164,1
1997,NaN,60,none,MM,116,1
1997,NaN,61,none,MM,193,1
1997,NaN,64,none,MM,82,1
1997,NaN,72,none,MM,117,1
1997,NaN,73,none,MM,217,1
1997,NaN,75,none,MM,23,1
